timestamp,open,high,low,close,volume
2019-01-21,738.2000,751.0000,734.0000,745.0000,8129422
2019-01-18,730.0000,736.2000,726.3000,730.9500,5902151
2019-01-17,735.8000,739.0000,729.1000,733.3500,6903771
2019-01-16,729.9000,737.8000,728.5000,736.8000,9658944
2019-01-15,707.2000,730.0000,707.2000,726.6000,19671304
2019-01-14,707.0000,710.2000,695.9500,701.9000,19312937
2019-01-11,680.2000,685.5000,672.5000,683.5000,12281903
2019-01-10,681.6000,682.0000,672.5500,679.7000,9572493
2019-01-09,686.2000,689.8000,664.0000,676.1000,18130292
2019-01-08,674.9500,677.4500,668.5500,670.0500,8621545
2019-01-07,665.0000,673.6000,661.5000,671.7000,8046340
2019-01-04,671.7500,673.9000,651.0000,661.0500,7889310
2019-01-03,672.0000,677.0000,663.1000,669.1500,6827249
2019-01-02,666.0000,674.0000,662.0500,669.0500,7416655
2019-01-01,660.9500,666.3000,654.1500,665.0500,2943390
2018-12-31,660.0000,662.0000,655.8000,658.9500,3373319
2018-12-28,663.3500,663.5000,653.3000,656.9500,4736598
2018-12-27,652.7500,663.2500,649.0000,656.8000,15333902
2018-12-26,647.0000,647.0000,637.3500,644.0500,6178552
2018-12-24,657.0000,658.8000,647.6000,649.0000,8379825
2018-12-21,659.5000,659.5000,643.4500,646.2000,12802132
2018-12-20,660.0000,671.5500,656.4000,667.0500,11705260
2018-12-19,671.5500,671.5500,661.1000,664.8500,8295459
2018-12-18,686.5000,686.5000,674.5500,676.6000,8021298
2018-12-17,711.8500,711.8500,692.7500,694.4000,4778465
2018-12-14,697.4500,713.7000,694.4000,706.0500,9560576
2018-12-13,682.0000,700.0000,680.0000,697.7500,7521474
2018-12-12,677.1000,680.6500,670.6000,678.5000,6926183
2018-12-11,669.2000,681.9000,660.6000,674.5000,7120933
2018-12-10,669.9000,683.8000,665.2000,669.2000,5121196
2018-12-07,672.0000,685.7500,665.6000,682.8000,5553948
2018-12-06,676.1000,685.4500,664.5500,668.5000,8039771
2018-12-05,683.0000,683.6500,672.5000,681.4000,5177288
2018-12-04,672.5500,688.2500,671.3000,685.2500,7827923
2018-12-03,673.1500,679.0000,665.9500,670.3500,8260890
2018-11-30,661.0000,672.0000,660.9500,667.4500,10445773
2018-11-29,671.0000,674.9000,658.8000,661.0500,13399070
2018-11-28,640.9500,668.7000,640.0000,666.4000,17719890
2018-11-27,625.5000,641.0000,625.3000,638.9000,12285851
2018-11-26,621.0000,628.0000,599.8500,621.4500,15075209
2018-11-22,622.2500,628.1500,616.7500,620.7500,6632975
2018-11-21,640.0000,640.0500,612.1000,619.1000,14359086
2018-11-20,651.7000,656.0000,640.1000,641.4000,5384830
2018-11-19,659.0000,662.0000,649.2500,651.7000,6018930
2018-11-16,659.9000,662.5000,644.2000,650.8500,8583785
2018-11-15,654.0000,666.0000,646.7000,656.4000,5513390
2018-11-14,665.7000,665.7000,640.5000,653.2000,7323026
2018-11-13,663.5000,667.7500,656.3000,665.7000,4137801
2018-11-12,666.0000,676.4000,662.3000,664.2000,7118080
2018-11-09,679.0000,679.0000,655.5000,659.5000,9694143
2018-11-07,673.0000,677.5000,672.0000,675.5000,758956
2018-11-06,667.9000,675.0000,660.6500,666.4500,6975525
2018-11-05,663.5000,668.6000,657.0000,666.0000,5799426
2018-11-02,665.9500,675.8000,660.1000,662.2500,6654067
2018-11-01,689.7000,689.7000,659.6000,666.7000,5860244
2018-10-31,663.9000,692.9500,663.0500,686.4000,11947995
2018-10-30,641.1000,663.8000,637.4500,659.6000,8793411
2018-10-29,633.7000,650.5500,631.5000,644.7500,7137446
2018-10-26,645.3000,648.7000,629.9000,633.6000,5464141
2018-10-25,643.0000,656.3500,636.2500,648.7500,8270469
2018-10-24,663.0000,666.5000,647.1500,649.8000,7058164
2018-10-23,675.9500,682.0000,653.3000,657.6000,9041701
2018-10-22,688.7000,695.0500,673.8000,679.9500,6672840
2018-10-19,687.0000,687.7000,678.0000,683.5500,10421001
2018-10-17,710.0000,721.8000,701.3500,705.3500,20360697
2018-10-16,710.0000,713.9000,689.4000,695.2500,11588963
2018-10-15,688.6000,705.0000,681.5000,698.8000,6222176
2018-10-12,676.4000,684.0500,661.5000,678.8000,8909221
